"geolev","index","n.x","dhs","n.y","predictions","n","country"
"646004003",-0.0938556617114484,8057,-0.153263078125,16,-0.263630171,16,"Rwanda"
"646004004",-0.380500913923182,7072,-0.379338349625,16,-0.592613306875,16,"Rwanda"
"646004005",-0.397659429109279,8309,-0.4204229225,16,-0.5411383833125,16,"Rwanda"
"646005001",-0.192860436682501,7232,-0.1217166818125,16,-0.290445894275,16,"Rwanda"
"646005002",-0.234101377485987,10179,-0.2411610040625,16,-0.4072469625,16,"Rwanda"
"646005003",-0.361181858155524,9318,-0.42289996875,16,-0.499026063125,16,"Rwanda"
"646005004",-0.245211194060337,7776,-0.205939848,16,-0.4389494625,16,"Rwanda"
"646005005",-0.323860606065891,7562,-0.243869623675,16,-0.5605514025,16,"Rwanda"
"646005006",-0.359511465134795,7776,-0.2749464975,16,-0.4823874425,16,"Rwanda"
"646005007",-0.243977994703469,8337,-0.21103403125,16,-0.30792566259375,16,"Rwanda"
"686001001",2.16452844432808,13657,1.61640084285714,14,1.23150391428571,14,"Senegal"
"686001002",1.56238318151852,12709,1.29880405,14,1.16059497857143,14,"Senegal"
"686001003",1.31072428188892,3003,0.967950930666667,6,0.522246810666667,6,"Senegal"
"686002001",-0.246329507097872,2174,0.0187604233333333,6,-0.386822938333333,6,"Senegal"
"686002002",0.225249419392703,2138,0.39598106125,8,0.4710234375,8,"Senegal"
"686002003",0.728581160137538,5955,0.898891165625,16,0.8042695525,16,"Senegal"
"686003001",-0.158816502143405,2849,0.0770111107142857,14,-0.161622352857143,14,"Senegal"
"686003002",-0.0771925360930169,1916,0.361961458288889,9,-0.2463782337,9,"Senegal"
"686003003",-0.122846066189829,1524,0.324711813333333,6,0.0455209433333333,6,"Senegal"
